Country Name,Country Code,2015gdp,2016gdp,2017gdp,2018gdp,2019gdp,2019gdppc,2019inflation,2019population,2019unemployment,2019FDI%,Continent,2018population
Indonesia,IDN,8.61E+11,9.32E+11,1.02E+12,1.04E+12,1.12E+12,4135.569263,1.604535926,270625568,3.621000051,2.229012389,Asia,267663435
IDA only,IDX,1.08E+12,1.10E+12,1.18E+12,1.26E+12,1.32E+12,1185.841859,2.908953528,1109126698,,2.634490064,#N/A,1084366301
Isle of Man,IMN,6792417112,6592627599,6770532819,,,,,84584,,,Europe,84077
India,IND,2.10E+12,2.29E+12,2.65E+12,2.71E+12,2.88E+12,2104.1459,2.310899451,1366417754,,1.760283207,Asia,1352617328
Not classified,INX,,,,,,,,,,,#N/A,
Ireland,IRL,2.92E+11,3.01E+11,3.36E+11,3.83E+11,3.89E+11,78660.95646,1.518552321,4941444,4.949200153,-11.99726809,Europe,4867316
"Iran, Islamic Rep.",IRN,3.85E+11,4.18E+11,4.45E+11,,,,,82913906,11.14000034,,Asia,81800269
Iraq,IRQ,1.77E+11,1.75E+11,1.95E+11,2.24E+11,2.34E+11,5955.10901,-0.000874892,39309783,,-1.313830955,Asia,38433600
Iceland,ISL,17389101641,20618363256,24488176540,25737594325,24188035739,66944.82551,4.391268252,361313,3.507400036,-1.988217675,Europe,352721
Israel,ISR,3.00E+11,3.19E+11,3.53E+11,3.71E+11,3.95E+11,43641.39774,2.24799046,9053300,3.802999973,4.820846445,Asia,8882800
Italy,ITA,1.84E+12,1.88E+12,1.96E+12,2.09E+12,2.00E+12,33189.5658,0.913085573,60297396,9.951399803,1.460121098,Europe,60421760
Jamaica,JAM,14187696311,14075894320,14806340821,15713908816,16458071068,5582.263778,7.591489574,2948279,7.715000153,4.043098351,North America,2934855
Jordan,JOR,38043450704,39196676056,40708943662,42231295775,43743661972,4330.329346,1.550147404,10101694,16.85000038,1.887114431,Asia,9956011
Japan,JPN,4.39E+12,4.92E+12,4.87E+12,4.95E+12,5.08E+12,40246.88013,0.591509481,126264931,2.400000095,0.731572588,Asia,126529100
Kazakhstan,KAZ,1.84E+11,1.37E+11,1.67E+11,1.79E+11,1.80E+11,9731.145207,6.741345256,18513930,4.800000191,1.991515522,Asia,18276498.5
Kenya,KEN,64007750169,69188755364,78965004656,87778582964,95503088538,1816.546916,3.961055338,52573973,,1.395176769,Africa,51393010
Kyrgyz Republic,KGZ,6678178340,6813092066,7702934800,8271108638,8454619608,1309.392992,-0.841309433,6456900,,2.492429107,Asia,6322800
Cambodia,KHM,18049954289,20016747754,22177200512,24571753583,27089389787,1643.121389,3.235371769,16486542,,13.52202109,Asia,16249798
Kiribati,KIR,171117872.4,178328873,187276210.9,196737896,194647201.9,1655.078839,3.999667803,117606,,0.247907542,Oceania,115847
St. Kitts and Nevis,KNA,923155555.6,971162963,996937037,1010814815,1050992593,19896.4957,1.434160591,52823,,8.779002565,North America,52441
"Korea, Rep.",KOR,1.47E+12,1.50E+12,1.62E+12,1.72E+12,1.64E+12,31761.97769,-0.933286881,51709098,3.745899916,0.643309058,Asia,51606633
Kuwait,KWT,1.15E+11,1.09E+11,1.21E+11,1.41E+11,1.35E+11,32031.9801,-4.071612704,4207083,,0.501087932,Asia,4137312
